Year,Month,Date,Control,SGL,Plot,Transect,Trap,ID,Recapture,Specimen.Species,Sex,Age,Total.WT,Bag.WT,Animal.Weight,Ear.length,Foot.length,Tail.length,Body.length,Larvae,Nymphs,Ticks.Total
2018,July,7/10/2018,,SGL103,B,W,8,RED381,Y,CHP,,AD,,,,,,,,,,8
2018,July,7/27/2018,,SGL103,B,W,12,RED381,Y,CHP,,AD,,,,,,,,,,0
2018,June,6/27/2018,,SGL103,B,W,8,RED381,N,CHP,,AD,,,,,,,,,,4
2018,July,7/31/2018,,SGL103,B,E,19,RED307,N,CHP,,AD,,,,,,,,,,0
2018,May,5/30/2018,,SGL103,B,E,11,RED304,N,CHP,M,AD,,,45,,,,,,,25
2018,July,7/17/2018,,SGL103,A,E,2,BLUE399,N,CHP,,AD,,,,,,,,,,0
2018,August,8/7/2018,,SGL103,A,W,4,BLUE385,N,CHP,,AD,,,,,,,,,,0
2018,June,6/12/2018,,SGL103,A,E,6,BLUE372,N,CHP,,AD,,,,,,,,,,25
2018,June,6/6/2018,,SGL103,A,W,7,BLUE356,Y,CHP,F,AD,,,,,,,,,,6
2018,June,6/12/2018,,SGL103,A,W,5,BLUE356,Y,CHP,F,AD,,,,,,,,,,28
2018,May,5/30/2018,,SGL103,A,W,5,BLUE356,N,CHP,F,AD,,,,,,,,,,15
2018,August,8/7/2018,,SGL103,A,E,7,BLUE332,N,CHP,,AD,,,,,,,,,,5
2018,June,6/6/2018,,SGL103,A,E,2,BLUE328,N,CHP,F,AD,,,,,,,,,,0
2018,July,7/3/2018,,SGL103,A,E,1,BLUE317,Y,CHP,F,AD,,,,,,,,,,2
2018,June,6/6/2018,,SGL103,A,E,1,BLUE317,N,CHP,F,AD,,,,,,,,,,
2018,May,5/25/2018,,SGL103,A,E,3,BLUE317,N,CHP,F,AD,,,,,,,,,,7
2018,May,5/17/2018,,SGL103,A,E,5,BLUE304,N,CHP,M,AD,,,,,,,,,,0
2018,June,6/27/2018,,SGL103,A,E,2,,N,CHP,,AD,,,,,,,,,,
2018,June,6/27/2018,,SGL103,B,E,4,,N,CHP,,AD,,,,,,,,,,
2018,May,5/30/2018,,SGL103,A,E,4,,Y,CHP,,AD,,,,,,,,,,
2019,July,7/16/19,C,SGL103,C,C2,9,BLACK494,N,CHP,F,AD,,,88,,,,,,,0
2019,July,7/3/19,C,SGL103,C,C1,8,BLACK479,Y,CHP,M,AD,,,,,,,,,,6
2019,July,7/9/19,C,SGL103,C,C2,7,BLACK479,Y,CHP,M,AD,,,,,,,,,,5
2019,June,6/26/19,C,SGL103,C,C2,8,BLACK479,N,CHP,M,AD,,,75,,,,,,,3
2019,August,8/13/19,C,SGL103,C,C3,4,BLACK409,Y,CHP,M,AD,,,,,,,,,,5
2019,August,8/20/19,C,SGL103,C,C2,8,BLACK409,Y,CHP,M,AD,,,,,,,,,,10
2019,August,8/29/19,C,SGL103,C,C1,4,BLACK409,Y,CHP,M,AD,,,,,,,,,,2
2019,July,7/30/19,C,SGL103,C,C2,8,BLACK409,N,CHP,M,AD,,,,,,,,,,5
2019,August,8/29/19,C,SGL103,A,C2,3,BLACK281,Y,CHP,,,,,,,,,,,,2
2019,June,6/26/19,C,SGL103,A,C2,6,BLACK266,N,CHP,M,AD,,,59,1.5,3,,12.2,,,3
2019,August,8/6/19,C,SGL103,A,C1,5,BLACK243,N,CHP,,AD,,,,,,,,,,4
2019,August,8/13/19,C,SGL103,A,C2,5,BLACK243,Y,CHP,,AD,,,,,,,,,,7
2019,August,8/13/19,C,SGL103,A,CE,21,BLACK241,N,CHP,,AD,,,,,,,,,,3
2019,August,8/20/19,C,SGL103,A,CE,19,BLACK241,Y,CHP,,AD,,,,,,,,,,6
2019,August,8/6/19,C,SGL103,A,C3,1,BLACK205,Y,CHP,F,AD,,,,,,,,,,10
2019,July,7/2019,C,SGL103,A,C2,1,BLACK205,N,CHP,F,AD,,,,,,,,,,0
2020,August,8/5/2020,,SGL176,N,S10,16,,N,CHP,,,,,,,,,,,,
2020,August,8/5/2020,,SGL176,N,S15,4,,N,CHP,,,,,0,,,,,,,
2020,July,7/8/2020,,SGL176,C,S6,8,,N,CHP,,,,,,,,,,,,
2020,June,6/4/2020,,SGL176,N,S15,25,,N,CHP,,,,,,,,,,,,
2020,June,6/24/2020,,SGL176,N,S13,20,,N,CHP,,,,,,,,,,,,
2020,June,6/24/2020,,SGL176,N,S13,22,,N,CHP,,,,,,,,,,,,
2020,June,6/25/2020,,SGL176,N,S14B,17,,N,CHP,,,,,,,,,,,,
2022,August,8/2/2022,C,SGL103 NORTH,SPRING CONTROL,,6,N/A,N,CHP,,,,,,,,,,,,
2022,October,10/3/2022,C,SGL176,SUMMER CONTROL,,29,N/A,N,CHP,,,,,,,,,,,,
