Year,Month,Date,Control,SGL,Plot,Transect,Trap,ID,Recapture,Specimen.Species,Sex,Age,Total.WT,Bag.WT,Animal.Weight,Ear.length,Foot.length,Tail.length,Body.length,Larvae,Nymphs,Ticks.Total
2018,May,5/30/2018,,SGL103,A,E,16,,N,NST,,AD,,,,,,,,,,
2020,May,5/16/2020,,SGL176,N,S15,19,,N,NST,,,,,,,,,,,,
2020,September,9/26/2020,,SGL176,N,S10,20,,N,NST,,,,,0,,,,,,,0
2020,September,9/26/2020,,SGL176,C,S9,15,,N,NST,,,,,0,,,,,,,
2021,July,7/22/2021,C,SGL103 NORTH,FALL CONTROL,,28,N/A,N,NST,,,,,,,,,,,,
2021,October,10/1/2021,C,SGL33,FALL CONTROL,,5,N/A,N,NST,,,,,,,,,,,,
2021,October,10/1/2021,C,SGL33,FALL CONTROL,,14,N/A,N,NST,,,,,,,,,,,,
2021,October,10/20/2021,C,SGL103 NORTH,FALL CONTROL,,15,N/A,N,NST,,,,,,,,,,,,
2021,October,10/21/2021,C,SGL103 NORTH,SUMMER CONTROL,,16,N/A,N,NST,,,,,,,,,,,,
2021,October,10/21/2021,C,SGL103 NORTH,SUMMER CONTROL,,24,N/A,N,NST,,,,,,,,,,,,
2021,September,9/28/2021,C,SGL33,FALL CONTROL,,17,N/A,N,NST,,,,,,,,,,,,
2021,September,9/29/2021,C,SGL33,FALL CONTROL,,13,N/A,N,NST,,,,,,,,,,,,
2021,September,9/29/2021,C,SGL33,FALL CONTROL,,18,N/A,N,NST,,,,,,,,,,,,
2021,September,9/30/2021,C,SGL33,FALL CONTROL,,6,N/A,N,NST,,,,,,,,,,,,
2021,September,9/30/2021,C,SGL33,FALL CONTROL,,8,N/A,N,NST,,,,,,,,,,,,
2021,September,9/30/2021,C,SGL33,FALL CONTROL,,14,N/A,N,NST,,,,,,,,,,,,
2022,August,8/3/2022,C,SGL103 SOUTH,FALL CONTROL,,15,N/A,N,NST,,,,,,,,,,,,
2022,August,8/3/2022,C,SGL103 SOUTH,SUMMER CONTROL,,17,N/A,N,NST,,,,,,,,,,,,
2022,August,8/4/2022,C,SGL103 NORTH,SPRING CONTROL,,9,N/A,N,NST,,,,,,,,,,,,
2022,August,8/4/2022,C,SGL103 NORTH,SUMMER CONTROL,,16,N/A,N,NST,,,,,,,,,,,,
2022,August,8/4/2022,C,SGL103 NORTH,SUMMER CONTROL,,18,N/A,N,NST,,,,,,,,,,,,
2022,August,8/4/2022,C,SGL103 SOUTH,SPRING CONTROL,,2,N/A,N,NST,,,,,,,,,,,,
2022,August,8/4/2022,C,SGL103 SOUTH,SUMMER CONTROL,,8,N/A,N,NST,,,,,,,,,,,,
2022,August,8/4/2022,C,SGL103 SOUTH,SUMMER CONTROL,,13,N/A,N,NST,,,,,,,,,,,,
2022,August,8/4/2022,C,SGL103 SOUTH,SUMMER CONTROL,,16,N/A,N,NST,,,,,,,,,,,,
2022,August,8/8/2022,C,SGL103 NORTH,SPRING CONTROL,,10,N/A,N,NST,,,,,,,,,,,,
2022,August,8/8/2022,C,SGL103 NORTH,SUMMER CONTROL,,24,N/A,N,NST,,,,,,,,,,,,
2022,July,7/22/2022,C,SGL176,SUMMER CONTROL,,30,N/A,N,NST,,,,,,,,,,,,
2022,May,5/18/2022,C,SGL103 NORTH,SUMMER CONTROL,,19,N/A,N,NST,,,,,,,,,,,,
2022,May,5/18/2022,C,SGL103 NORTH,SUMMER CONTROL,,22,N/A,N,NST,,,,,,,,,,,,
2022,May,5/19/2022,C,SGL103 NORTH,SUMMER CONTROL,,22,N/A,N,NST,,,,,,,,,,,,
2022,October,10/3/2022,C,SGL176,FALL CONTROL,,14,N/A,N,NST,,,,,,,,,,,,
2022,October,10/3/2022,C,SGL176,SPRING CONTROL,,27,N/A,N,NST,,,,,,,,,,,,
2022,October,10/3/2022,C,SGL176,SUMMER CONTROL,,7,N/A,N,NST,,,,,,,,,,,,
2022,October,10/3/2022,C,SGL176,SUMMER CONTROL,,20,N/A,N,NST,,,,,,,,,,,,
2022,October,10/4/2022,C,SGL176,FALL CONTROL,,18,N/A,N,NST,,,,,,,,,,,,
2022,October,10/4/2022,C,SGL176,SPRING CONTROL,,23,N/A,N,NST,,,,,,,,,,,,
2022,October,10/4/2022,C,SGL176,SPRING CONTROL,,24,N/A,N,NST,,,,,,,,,,,,
2022,October,10/4/2022,C,SGL176,SUMMER CONTROL,,19,N/A,N,NST,,,,,,,,,,,,
2022,October,10/11/2022,C,SGL176,SPRING CONTROL,,22,N/A,N,NST,,,,,,,,,,,,
2022,October,10/17/2022,C,SGL33,FALL CONTROL,,7,N/A,N,NST,,,,,,,,,,,,
2022,October,10/17/2022,C,SGL33,FALL CONTROL,,12,N/A,N,NST,,,,,,,,,,,,
2022,October,10/17/2022,C,SGL33,SPRING CONTROL,,7,N/A,N,NST,,,,,,,,,,,,
2022,October,10/17/2022,C,SGL33,SPRING CONTROL,,8,N/A,N,NST,,,,,,,,,,,,
2022,October,10/17/2022,C,SGL33,SPRING CONTROL,,12,N/A,N,NST,,,,,,,,,,,,
2022,October,10/18/2022,C,SGL33,FALL CONTROL,,6,N/A,N,NST,,,,,,,,,,,,
2022,October,10/18/2022,C,SGL33,FALL CONTROL,,17,N/A,N,NST,,,,,,,,,,,,
2022,October,10/18/2022,C,SGL33,SPRING CONTROL,,18,N/A,N,NST,,,,,,,,,,,,
2022,October,10/25/2022,C,SGL33,FALL CONTROL,,13,N/A,N,NST,,,,,,,,,,,,
2022,October,10/25/2022,C,SGL33,FALL CONTROL,,22,N/A,N,NST,,,,,,,,,,,,
2022,October,10/25/2022,C,SGL33,SPRING CONTROL,,23,N/A,N,NST,,,,,,,,,,,,
2022,October,10/25/2022,C,SGL33,SUMMER CONTROL,,20,N/A,N,NST,,,,,,,,,,,,
2022,October,10/27/2022,C,SGL33,SPRING CONTROL,,15,N/A,N,NST,,,,,,,,,,,,
2022,October,10/27/2022,C,SGL33,SUMMER CONTROL,,16,N/A,N,NST,,,,,,,,,,,,
2022,September,9/27/2022,C,SGL103 NORTH,SUMMER CONTROL,,21,N/A,N,NST,,,,,,,,,,,,
2022,September,9/27/2022,C,SGL103 SOUTH,SPRING CONTROL,,27,N/A,N,NST,,,,,,,,,,,,
2022,September,9/27/2022,C,SGL103 SOUTH,SUMMER CONTROL,,1,N/A,N,NST,,,,,,,,,,,,
2022,September,9/28/2022,C,SGL103 SOUTH,SUMMER CONTROL,,9,N/A,N,NST,,,,,,,,,,,,
2022,September,9/28/2022,C,SGL103 SOUTH,SUMMER CONTROL,,13,N/A,N,NST,,,,,,,,,,,,
2022,September,9/29/2022,C,SGL103 SOUTH,SUMMER CONTROL,,9,N/A,N,NST,,,,,,,,,,,,
2022,September,9/29/2022,C,SGL103 SOUTH,SUMMER CONTROL,,25,N/A,N,NST,,,,,,,,,,,,
2022,September,9/30/2022,C,SGL103 SOUTH,SPRING CONTROL,,8,N/A,N,NST,,,,,,,,,,,,
2022,September,9/30/2022,C,SGL103 SOUTH,SUMMER CONTROL,,8,N/A,N,NST,,,,,,,,,,,,
2024,June,6/7/2024,C,SGL33,1,A,3,6.7.24.5,N,NST,F,AD,26,10,16,,,2.0,9.2,,,5
2024,June,6/7/2024,C,SGL33,3,A,4,6.7.24.4,N,NST,F,JUV,24,10,14,,,2.2,9.3,,,4
2024,June,6/7/2024,C,SGL33,9,A,5,6.7.24.1,N,NST,F,AD,66,45,21,,,2.0,9.4,,,0
2024,June,6/6/2024,C,SGL33,3,A,1,6.6.24.2,N,NST,F,AD,45,12,33,,,2.0,9.0,,,1
2024,June,6/14/2024,C,SGL103,3,B,2,6.14.24.2,N,NST,F,AD,25,11,14,,,2.1,8.2,,,0
2024,June,6/14/2024,C,SGL103,3,B,7,6.14.24.1,N,NST,M,AD,35,13,22,,,2.0,9.0,,,0
2024,June,6/13/2024,C,SGL103,5,B,3,6.13.24.1,N,NST,F,AD,,,,,,3,9.0,,,7
2024,July,7/31/2024,C,SGL103,9,B,2,5,N,NST,F,AD,26,9,17,,,1.8,9.0,,,2
2024,July,7/31/2024,C,SGL103,9,B,2,5,N,NST,F,AD,26,9,17,,,1.8,9,,,2
2024,July,7/31/2024,C,SGL103,7,A,7,4,N,NST,F,AD,39,22,17,,,2.1,9,,,0
2024,July,7/31/2024,C,SGL103,7,A,7,4,N,NST,F,AD,39,22,17,,,2.1,9.0,,,0
2024,July,7/31/2024,C,SGL103,8,B,1,1,N,NST,F,AD,40,22,18,,,2,9.1,,,1
2024,August,8/1/2024,C,SGL103,7,A,8,,N,NST,F,AD,32,9,23,,,,7,,,7
2024,August,8/1/2024,C,SGL103,6,B,2,,N,NST,M,AD,30,9,21,,,,7,,,6
2024,August,8/2/2024,C,SGL103,9,A,3,,N,NST,F,AD,29,9,20,,,,7.5,,,2
2024,August,8/2/2024,C,SGL103,3,B,3,,N,NST,F,AD,30,9,21,,,,7,,,3
2024,August,8/8/2024,C,SH,2,B,3,,N,NST,F,AD,28,9,19,,,2.5,9,,,17
2024,August,8/13/2024,C,SH,5,A,7,,N,NST,F,AD,28,10,18,,,2.5,8,,,0
2024,July,7/23/2024,C,SGL33,1,B,8,,N,NST,F,AD,27,9,18,,,,7.5,,,3
2024,July,7/24/2024,C,SGL33,1,B,5,,N,NST,F,AD,30,11,19,,,,6.5,,,0
2024,July,7/25/2024,C,SGL33,1,A,7,,N,NST,F,AD,25,10,15,,,,6.5,,,0
2024,July,7/25/2024,C,SGL33,2,B,1,,N,NST,F,AD,23,11,12,,,,6,,,1
2024,July,7/30/2024,C,SGL103,9,A,6,,N,NST,F,AD,38,9,29,,,,8.0,,,0
2024,July,7/30/2024,C,SGL103,9,B,1,,N,NST,F,AD,23,9,14,,,,7.0,,,0
2025,July,7/22/2025,C,SGL176,7,A,3,RED MARKER,N,NST,M,AD,20,6,14,,,25,8.5,2,0,
2025,July,7/23/2025,C,SGL176,7,A,3,NO TAG #,N,NST,M,AD,10,0,10,1.5,,25,8,5,0,
